Chemical_Formula,CIF_Base_Name,Total_Energy_eV,Energy_per_Atom_eV,Relaxed_CIF_Path,SG_ori
Sc6Al26N32,xtal_53,-423.3664245605469,-6.615100383758545,db://4/xtal_53.cif,4
Sc6Al26N32,xtal_56,-412.7153015136719,-6.448676586151123,db://4/xtal_56.cif,4
Sc6Al26N32,xtal_6,-433.72552490234375,-6.776961326599121,db://4/xtal_6.cif,4
Sc6Al26N32,xtal_60,-438.84613037109375,-6.85697078704834,db://4/xtal_60.cif,4
Sc6Al26N32,xtal_62,-443.6788330078125,-6.93248176574707,db://4/xtal_62.cif,4
Sc6Al26N32,xtal_63,-412.61090087890625,-6.44704532623291,db://4/xtal_63.cif,4
Sc6Al26N32,xtal_64,-436.78179931640625,-6.824715614318848,db://4/xtal_64.cif,4
Sc6Al26N32,xtal_65,-415.76287841796875,-6.496294975280762,db://4/xtal_65.cif,4
Sc6Al26N32,xtal_67,-432.1174011230469,-6.751834392547607,db://4/xtal_67.cif,4
Sc6Al26N32,xtal_74,-425.39794921875,-6.646842956542969,db://4/xtal_74.cif,4
Sc6Al26N32,xtal_75,-417.1427307128906,-6.517855167388916,db://4/xtal_75.cif,4
Sc6Al26N32,xtal_76,-420.64129638671875,-6.5725202560424805,db://4/xtal_76.cif,4
Sc6Al26N32,xtal_77,-421.2149658203125,-6.581483840942383,db://4/xtal_77.cif,4
Sc6Al26N32,xtal_81,-414.6512756347656,-6.478926181793213,db://4/xtal_81.cif,4
Sc6Al26N32,xtal_82,-417.6181640625,-6.5252838134765625,db://4/xtal_82.cif,4
Sc6Al26N32,xtal_88,-415.5618591308594,-6.493154048919678,db://4/xtal_88.cif,4
Sc6Al26N32,xtal_89,-415.0128173828125,-6.484575271606445,db://4/xtal_89.cif,4
Sc6Al26N32,xtal_91,-399.2550048828125,-6.238359451293945,db://4/xtal_91.cif,4
Sc6Al26N32,xtal_93,-411.13140869140625,-6.423928260803223,db://4/xtal_93.cif,4
Sc6Al26N32,xtal_94,-411.035888671875,-6.422435760498047,db://4/xtal_94.cif,4
Sc6Al26N32,xtal_95,-401.4555358886719,-6.272742748260498,db://4/xtal_95.cif,4
Sc6Al26N32,xtal_96,-426.43829345703125,-6.663098335266113,db://4/xtal_96.cif,4
Sc6Al26N32,xtal_97,-425.2166442871094,-6.644010066986084,db://4/xtal_97.cif,4
Sc6Al26N32,xtal_99,-422.5313415527344,-6.602052211761475,db://4/xtal_99.cif,4
Sc6Al26N32,xtal_10,-410.0697021484375,-6.407339096069336,db://5/xtal_10.cif,5
Sc6Al26N32,xtal_14,-399.39447021484375,-6.240538597106934,db://5/xtal_14.cif,5
Sc6Al26N32,xtal_15,-413.01263427734375,-6.453322410583496,db://5/xtal_15.cif,5
Sc6Al26N32,xtal_16,-452.54083251953125,-7.070950508117676,db://5/xtal_16.cif,5
Sc6Al26N32,xtal_17,-438.0001220703125,-6.843751907348633,db://5/xtal_17.cif,5
Sc6Al26N32,xtal_18,-424.90447998046875,-6.639132499694824,db://5/xtal_18.cif,5
Sc6Al26N32,xtal_19,-420.80511474609375,-6.575079917907715,db://5/xtal_19.cif,5
Sc6Al26N32,xtal_24,-393.37432861328125,-6.1464738845825195,db://5/xtal_24.cif,5
Sc6Al26N32,xtal_25,-418.9057922363281,-6.545403003692627,db://5/xtal_25.cif,5
Sc6Al26N32,xtal_26,-397.9657287597656,-6.218214511871338,db://5/xtal_26.cif,5
Sc6Al26N32,xtal_27,-411.1748962402344,-6.424607753753662,db://5/xtal_27.cif,5
Sc6Al26N32,xtal_28,-419.9642639160156,-6.561941623687744,db://5/xtal_28.cif,5
Sc6Al26N32,xtal_30,-413.1981201171875,-6.456220626831055,db://5/xtal_30.cif,5
Sc6Al26N32,xtal_31,-429.2414855957031,-6.706898212432861,db://5/xtal_31.cif,5
Sc6Al26N32,xtal_33,-402.949462890625,-6.296085357666016,db://5/xtal_33.cif,5
Sc6Al26N32,xtal_35,-406.790283203125,-6.356098175048828,db://5/xtal_35.cif,5
Sc6Al26N32,xtal_38,-414.00067138671875,-6.4687604904174805,db://5/xtal_38.cif,5
Sc6Al26N32,xtal_39,-413.955810546875,-6.468059539794922,db://5/xtal_39.cif,5
Sc6Al26N32,xtal_44,-427.6409912109375,-6.681890487670898,db://5/xtal_44.cif,5
Sc6Al26N32,xtal_45,-437.4361877441406,-6.834940433502197,db://5/xtal_45.cif,5
Sc6Al26N32,xtal_47,-414.3569030761719,-6.4743266105651855,db://5/xtal_47.cif,5
Sc6Al26N32,xtal_49,-421.5552673339844,-6.586801052093506,db://5/xtal_49.cif,5
Sc6Al26N32,xtal_51,-417.23956298828125,-6.5193681716918945,db://5/xtal_51.cif,5
Sc6Al26N32,xtal_53,-421.5030517578125,-6.58598518371582,db://5/xtal_53.cif,5
Sc6Al26N32,xtal_56,-404.4351806640625,-6.319299697875977,db://5/xtal_56.cif,5
Sc6Al26N32,xtal_57,-413.7865905761719,-6.4654154777526855,db://5/xtal_57.cif,5
Sc6Al26N32,xtal_58,-432.9251708984375,-6.764455795288086,db://5/xtal_58.cif,5
Sc6Al26N32,xtal_6,-430.89202880859375,-6.732687950134277,db://5/xtal_6.cif,5
Sc6Al26N32,xtal_60,-397.01123046875,-6.203300476074219,db://5/xtal_60.cif,5
Sc6Al26N32,xtal_61,-431.73736572265625,-6.745896339416504,db://5/xtal_61.cif,5
Sc6Al26N32,xtal_63,-408.451171875,-6.382049560546875,db://5/xtal_63.cif,5
Sc6Al26N32,xtal_66,-425.208251953125,-6.643878936767578,db://5/xtal_66.cif,5
Sc6Al26N32,xtal_69,-411.54095458984375,-6.430327415466309,db://5/xtal_69.cif,5
Sc6Al26N32,xtal_70,-397.884033203125,-6.216938018798828,db://5/xtal_70.cif,5
Sc6Al26N32,xtal_72,-407.752197265625,-6.371128082275391,db://5/xtal_72.cif,5
Sc6Al26N32,xtal_73,-399.53265380859375,-6.242697715759277,db://5/xtal_73.cif,5
Sc6Al26N32,xtal_74,-409.5757141113281,-6.399620532989502,db://5/xtal_74.cif,5
Sc6Al26N32,xtal_75,-410.24188232421875,-6.410029411315918,db://5/xtal_75.cif,5
Sc6Al26N32,xtal_78,-433.74908447265625,-6.777329444885254,db://5/xtal_78.cif,5
Sc6Al26N32,xtal_8,-419.12884521484375,-6.548888206481934,db://5/xtal_8.cif,5
Sc6Al26N32,xtal_82,-421.1695861816406,-6.580774784088135,db://5/xtal_82.cif,5
Sc6Al26N32,xtal_89,-418.94189453125,-6.545967102050781,db://5/xtal_89.cif,5
Sc6Al26N32,xtal_90,-429.7435607910156,-6.714743137359619,db://5/xtal_90.cif,5
Sc6Al26N32,xtal_92,-452.87713623046875,-7.076205253601074,db://5/xtal_92.cif,5
Sc6Al26N32,xtal_94,-428.04962158203125,-6.688275337219238,db://5/xtal_94.cif,5
Sc6Al26N32,xtal_95,-423.2244873046875,-6.612882614135742,db://5/xtal_95.cif,5
Sc6Al26N32,xtal_96,-420.354736328125,-6.568042755126953,db://5/xtal_96.cif,5
Sc6Al26N32,xtal_97,-417.0397033691406,-6.516245365142822,db://5/xtal_97.cif,5
Sc6Al26N32,xtal_98,-415.8194885253906,-6.4971795082092285,db://5/xtal_98.cif,5
Sc6Al26N32,xtal_99,-423.9779052734375,-6.624654769897461,db://5/xtal_99.cif,5
Sc3Al13N16,xtal_10,-211.37034606933594,-6.605323314666748,db://6/xtal_10.cif,6
Sc6Al26N32,xtal_100,-435.2151184082031,-6.800236225128174,db://6/xtal_100.cif,6
Sc6Al26N32,xtal_14,-422.781494140625,-6.605960845947266,db://6/xtal_14.cif,6
