Chemical_Formula,CIF_Base_Name,Total_Energy_eV,Energy_per_Atom_eV,Final_Pressure_GPa,Enthalpy_per_Atom_eV,Corrected_Enthalpy_per_Atom_eV,Relaxed_CIF_Path,SG_ori
Th2H20,xtal_106,-59.435665130615234,-2.7016211423006924,149.98662312825522,0.259566365321601,0.2598304650437998,db://2/xtal_106.cif,2
Th2H20,xtal_112,-59.57179641723633,-2.7078089280561968,149.70208231608072,0.2505499628048333,0.25643730528752806,db://2/xtal_112.cif,2
Th2H20,xtal_130,-61.527801513671875,-2.7967182506214487,150.02623494466147,0.16732568070007015,0.16680736116388328,db://2/xtal_130.cif,2
Th2H20,xtal_146,-58.62763214111328,-2.6648923700506035,150.03946431477866,0.2685075639827975,0.2677360028545499,db://2/xtal_146.cif,2
Th2H20,xtal_169,-60.096702575683594,-2.731668298894709,149.57097371419272,0.21596040388044652,0.22441532105379486,db://2/xtal_169.cif,2
Th1H10,xtal_187,-30.76891326904297,-2.797173933549361,149.9443155924479,0.16569617041134227,0.16679648332244518,db://2/xtal_187.cif,2
Th1H10,xtal_188,-30.75603675842285,-2.7960033416748047,150.23624674479166,0.17148648871824113,0.16682010608540285,db://2/xtal_188.cif,2
Th1H10,xtal_190,-30.741323471069336,-2.7946657700972124,150.33990987141928,0.17381647704442055,0.16710490977130388,db://2/xtal_190.cif,2
Th2H20,xtal_28,-59.525390625,-2.7056995738636362,149.60638936360678,0.27384757324930314,0.28168668663027224,db://2/xtal_28.cif,2
Th2H20,xtal_32,-61.535682678222656,-2.7970764853737573,149.88884989420572,0.16469660882222376,0.1668929122363262,db://2/xtal_32.cif,2
Th1H10,xtal_62,-30.768564224243164,-2.797142202203924,149.17369588216147,0.15155799192439126,0.1678914553964247,db://2/xtal_62.cif,2
Th2H20,xtal_67,-61.55977249145508,-2.7981714768843218,149.6028798421224,0.15907562367179587,0.16692562252673265,db://2/xtal_67.cif,2
Th2H20,xtal_78,-60.17708969116211,-2.735322258689187,150.03546651204428,0.21971663713754583,0.21901810281745063,db://2/xtal_78.cif,2
Th1H10,xtal_85,-30.76287078857422,-2.796624617143111,150.0960489908854,0.1686885414800482,0.16679098762396855,db://2/xtal_85.cif,2
Th2H20,xtal_88,-59.4565544128418,-2.7025706551291724,149.9891103108724,0.23538294512390612,0.23559624995191492,db://2/xtal_88.cif,2
Th2H20,xtal_102,-57.296424865722656,-2.604382948441939,149.6896718343099,0.3244330817399446,0.3305049375677544,db://3/xtal_102.cif,3
Th2H20,xtal_12,-59.00455093383789,-2.6820250424471768,150.1435343424479,0.3254274040802837,0.3225523371568482,db://3/xtal_12.cif,3
Th2H20,xtal_129,-59.94934844970703,-2.7249703840775923,149.9352823893229,0.2921415088823103,0.2934438059117099,db://3/xtal_129.cif,3
Th2H20,xtal_161,-58.15499496459961,-2.643408862027255,149.92740376790366,0.3283342385127461,0.32977318393857025,db://3/xtal_161.cif,3
Th2H20,xtal_172,-59.95761489868164,-2.7253461317582564,150.27997843424478,0.22870401662639173,0.22320048685587618,db://3/xtal_172.cif,3
Th2H20,xtal_197,-60.09114074707031,-2.731415488503196,149.7424062093099,0.23893044978986017,0.24404017581387183,db://3/xtal_197.cif,3
Th2H20,xtal_60,-60.01045227050781,-2.727747830477628,150.25005086263022,0.24819625960193872,0.24324359980188287,db://3/xtal_60.cif,3
Th2H20,xtal_67,-59.74943161010742,-2.715883255004883,149.61784871419272,0.28587260381386287,0.2935396359960888,db://3/xtal_67.cif,3
Th2H20,xtal_106,-61.349246978759766,-2.7886021353981714,149.58493041992188,0.1566243117135939,0.16479675195343543,db://4/xtal_106.cif,4
Th2H20,xtal_121,-60.21266555786133,-2.7369393435391514,149.5976359049479,0.28883421619920374,0.29697246405875033,db://4/xtal_121.cif,4
Th2H20,xtal_124,-60.866031646728516,-2.7666378021240234,149.87395222981772,0.27628087053241757,0.2788400418081989,db://4/xtal_124.cif,4
Th2H20,xtal_130,-58.76581954956055,-2.6711736158891157,150.23164876302084,0.32362048464417886,0.3190026803758853,db://4/xtal_130.cif,4
Th2H20,xtal_164,-61.510589599609375,-2.7959358908913354,150.0500030517578,0.1679846124190502,0.1669969078717737,db://4/xtal_164.cif,4
Th2H20,xtal_179,-61.315181732177734,-2.787053715098988,149.93286641438803,0.1635531506271416,0.16487430737792377,db://4/xtal_179.cif,4
Th2H20,xtal_184,-59.245853424072266,-2.69299333745783,149.62308756510416,0.2857893217702461,0.29329311174936035,db://4/xtal_184.cif,4
Th2H20,xtal_189,-61.3277473449707,-2.78762487931685,149.939453125,0.16372398984854317,0.16491577057962117,db://4/xtal_189.cif,4
Th2H20,xtal_192,-58.25538635253906,-2.6479721069335938,149.97862243652344,0.308173648102283,0.30859500944363677,db://4/xtal_192.cif,4
Th2H20,xtal_2,-59.71282196044922,-2.714219180020419,150.26763407389322,0.23180352150927322,0.22655650965438115,db://4/xtal_2.cif,4
Th2H20,xtal_22,-61.497005462646484,-2.795318430120295,150.13955688476562,0.16982051594026937,0.16706437650043446,db://4/xtal_22.cif,4
Th2H20,xtal_24,-59.98563766479492,-2.7266198938543145,150.03741963704428,0.22361269285509555,0.22287689885878492,db://4/xtal_24.cif,4
Th2H20,xtal_48,-61.0533561706543,-2.775152553211559,149.85076395670572,0.26389300279831995,0.2669195815236778,db://4/xtal_48.cif,4
Th2H20,xtal_5,-61.584346771240234,-2.7992884896018286,149.4515177408854,0.15594943495459096,0.16679506300563615,db://4/xtal_5.cif,4
Th2H20,xtal_63,-61.496673583984375,-2.7953033447265625,150.0709228515625,0.1685517856995973,0.16715108092965406,db://4/xtal_63.cif,4
Th2H20,xtal_69,-58.21091079711914,-2.6459504907781426,149.98076883951822,0.3666470440110375,0.36703333184718356,db://4/xtal_69.cif,4
Th2H20,xtal_76,-59.35487747192383,-2.6979489759965376,150.21294148763022,0.31053208866889936,0.3062672734867138,db://4/xtal_76.cif,4
Th2H20,xtal_79,-59.26393508911133,-2.693815231323242,150.14202880859375,0.29906405162243743,0.2962328984656915,db://4/xtal_79.cif,4
Th2H20,xtal_91,-59.973358154296875,-2.7260617342862217,150.1636505126953,0.2822211253236459,0.27894265526363593,db://4/xtal_91.cif,4
Th2H20,xtal_92,-61.501136779785156,-2.7955062172629614,150.08185323079428,0.16877909046495498,0.1671623971458738,db://4/xtal_92.cif,4
Th2H20,xtal_97,-61.53862380981445,-2.7972101731733843,149.95380655924478,0.16586677738091798,0.1667795566074627,db://4/xtal_97.cif,4
Th2H20,xtal_110,-59.946475982666016,-2.7248398173939097,149.41581217447916,0.2591451783315435,0.27081200047486564,db://5/xtal_110.cif,5
Th2H20,xtal_123,-61.51177978515625,-2.795989990234375,150.21676127115884,0.17108499841692357,0.16680353913953497,db://5/xtal_123.cif,5
Th2H20,xtal_166,-57.276023864746094,-2.6034556302157315,149.83740743001303,0.3763922575300905,0.379625770005706,db://5/xtal_166.cif,5
Th2H20,xtal_174,-60.455955505371094,-2.7479979775168677,149.8028310139974,0.19652384974682297,0.20039939988839434,db://5/xtal_174.cif,5
Th2H20,xtal_185,-61.52650451660156,-2.796659296209162,149.95115661621094,0.165996168517699,0.16696119020318545,db://5/xtal_185.cif,5
Th2H20,xtal_186,-61.51837921142578,-2.7962899641557173,149.87305196126303,0.1646284194601687,0.16713642724903677,db://5/xtal_186.cif,5
Th2H20,xtal_4,-60.2891845703125,-2.74041748046875,150.04459635416666,0.35831028035724766,0.3573892744427017,db://5/xtal_4.cif,5
Th2H20,xtal_65,-58.1219482421875,-2.64190673828125,150.62324015299478,0.32055218050006123,0.3082942889030764,db://5/xtal_65.cif,5
Th2H20,xtal_77,-60.776432037353516,-2.762565092606978,150.42622884114584,0.3197230009868309,0.31098941714090805,db://5/xtal_77.cif,5
Th2H20,xtal_105,-61.35662078857422,-2.788937308571555,149.74458821614584,0.1596533748270904,0.16468263708807804,db://6/xtal_105.cif,6
Th2H20,xtal_126,-61.35234451293945,-2.788742932406339,149.52291870117188,0.15526005727196043,0.16465345851285393,db://6/xtal_126.cif,6
Th2H20,xtal_173,-58.933677673339844,-2.6788035306063565,149.9637705485026,0.2793159035232342,0.2800305497619247,db://6/xtal_173.cif,6
