CIF_Base_Name,Total_Energy_eV,Energy_per_Atom_eV,Final_Pressure_GPa,Enthalpy_per_Atom_eV,Corrected_Enthalpy_per_Atom_eV,Relaxed_CIF_Path
xtal_100,-47.179386138916016,-2.1445175517689097,70.14003737767537,0.46685625265355896,3.440111218161644,db://100/xtal_100.cif
xtal_101,-57.235862731933594,-2.6016301241788,149.8307342529297,0.49516836867060215,0.49866686257461984,db://100/xtal_101.cif
xtal_106,-53.41672134399414,-2.42803278836337,149.9439900716146,0.5865327771972023,0.5876588350095863,db://100/xtal_106.cif
xtal_107,-56.31080627441406,-2.5595821033824575,149.47728474934897,0.38722439935751135,0.39752924736356615,db://100/xtal_107.cif
xtal_109,-59.861328125,-2.720969460227273,149.99657185872397,0.27373329987228023,0.2738017431974451,db://100/xtal_109.cif
xtal_113,-53.1698112487793,-2.4168096022172407,150.98859151204428,0.6077723904113231,0.5879690658326178,db://100/xtal_113.cif
xtal_115,-54.05256652832031,-2.456934842196378,149.38877868652344,0.5626363984524914,0.5749909160814112,db://100/xtal_115.cif
xtal_118,-54.47295379638672,-2.4760433543812144,148.41560872395834,0.6474301547789019,0.6807743846844295,db://100/xtal_118.cif
xtal_119,-58.414794921875,-2.6552179509943183,149.48124186197916,0.3957519586820908,0.40634001274015596,db://100/xtal_119.cif
xtal_14,-57.970916748046875,-2.635041670365767,148.61206563313803,0.415571961760084,0.44406259259820996,db://100/xtal_14.cif
xtal_142,-57.89829635620117,-2.6317407434636895,150.23738606770834,0.5231868685740579,0.5182018519990984,db://100/xtal_142.cif
xtal_146,-61.445945739746094,-2.7929975336248223,149.7193603515625,0.2529898300514404,0.2586993443111856,db://100/xtal_146.cif
xtal_153,-59.446224212646484,-2.7021011005748403,149.51099141438803,0.2368241462939299,0.24643654779428073,db://100/xtal_153.cif
xtal_154,-56.234859466552734,-2.556129975752397,150.57476298014322,0.40862693919558457,0.39731008578595683,db://100/xtal_154.cif
xtal_156,-59.0130615234375,-2.682411887428977,150.20072428385416,0.33771495813366603,0.3336789403240672,db://100/xtal_156.cif
xtal_158,-54.257301330566406,-2.4662409695712,146.75440979003906,0.6806107229565331,0.7502058449026421,db://100/xtal_158.cif
xtal_16,-59.50643539428711,-2.7048379724675957,150.16497294108072,0.27475150405437304,0.27147809328801636,db://100/xtal_16.cif
xtal_175,-57.8377685546875,-2.628989479758523,150.29448954264322,0.4681408979918044,0.4620723288032359,db://100/xtal_175.cif
xtal_178,-58.67925262451172,-2.6672387556596235,149.66763305664062,0.4233823151509313,0.43024565799539677,db://100/xtal_178.cif
xtal_187,-57.90682601928711,-2.632128455422141,150.41840616861978,0.5268826395992137,0.5180954854033796,db://100/xtal_187.cif
xtal_19,-58.036380767822266,-2.6380173076282847,149.85747782389322,0.4174103447396453,0.42031621373114164,db://100/xtal_19.cif
xtal_191,-58.88865661621094,-2.676757118918679,150.19473266601562,0.3229357863401112,0.31904658073149555,db://100/xtal_191.cif
xtal_194,-59.143619537353516,-2.688346342606978,149.75515747070312,0.29853714393154074,0.3034205557612951,db://100/xtal_194.cif
xtal_20,-55.886871337890625,-2.540312333540483,157.02147420247397,0.5935045148780715,0.45337072573738557,db://100/xtal_20.cif
xtal_28,-58.6137809753418,-2.6642627716064453,149.89240519205728,0.4281359881147169,0.4303557540208559,db://100/xtal_28.cif
xtal_29,-59.759151458740234,-2.7163250663063745,150.1284383138021,0.26210147167862435,0.2595533596312413,db://100/xtal_29.cif
xtal_3,-58.28032684326172,-2.649105765602805,149.4170176188151,0.4997501280649246,0.5120360613284418,db://100/xtal_3.cif
xtal_31,-54.89036178588867,-2.4950164448131216,150.25555928548178,0.5817827399691637,0.5765496251015806,db://100/xtal_31.cif
