filename,filepath,tsne_dim1,tsne_dim2
xtal_41.cif,./Al13Sc3N16/__initial__/3/xtal_41.cif,43.670288,-45.483685
xtal_42.cif,./Al13Sc3N16/__initial__/3/xtal_42.cif,26.273317,-68.53781
xtal_45.cif,./Al13Sc3N16/__initial__/3/xtal_45.cif,-45.94682,-45.597004
xtal_46.cif,./Al13Sc3N16/__initial__/3/xtal_46.cif,70.08212,-32.192833
xtal_48.cif,./Al13Sc3N16/__initial__/3/xtal_48.cif,37.24983,-6.9558463
xtal_49.cif,./Al13Sc3N16/__initial__/3/xtal_49.cif,41.031757,-65.70912
xtal_5.cif,./Al13Sc3N16/__initial__/3/xtal_5.cif,-93.42919,-34.22941
xtal_50.cif,./Al13Sc3N16/__initial__/3/xtal_50.cif,68.9374,-52.334343
xtal_51.cif,./Al13Sc3N16/__initial__/3/xtal_51.cif,70.48802,7.3238645
xtal_52.cif,./Al13Sc3N16/__initial__/3/xtal_52.cif,98.96468,-14.730796
xtal_56.cif,./Al13Sc3N16/__initial__/3/xtal_56.cif,79.26571,22.081264
xtal_57.cif,./Al13Sc3N16/__initial__/3/xtal_57.cif,95.411606,-2.385157
xtal_58.cif,./Al13Sc3N16/__initial__/3/xtal_58.cif,-93.120285,3.6999207
xtal_59.cif,./Al13Sc3N16/__initial__/3/xtal_59.cif,71.723564,26.159044
xtal_6.cif,./Al13Sc3N16/__initial__/3/xtal_6.cif,63.784393,-43.618515
xtal_60.cif,./Al13Sc3N16/__initial__/3/xtal_60.cif,-26.995298,-50.3421
xtal_65.cif,./Al13Sc3N16/__initial__/3/xtal_65.cif,25.80788,71.24112
xtal_66.cif,./Al13Sc3N16/__initial__/3/xtal_66.cif,37.80007,38.54181
xtal_67.cif,./Al13Sc3N16/__initial__/3/xtal_67.cif,-67.14378,-11.488272
xtal_7.cif,./Al13Sc3N16/__initial__/3/xtal_7.cif,-32.252464,0.90850794
xtal_70.cif,./Al13Sc3N16/__initial__/3/xtal_70.cif,16.529938,-42.086826
xtal_72.cif,./Al13Sc3N16/__initial__/3/xtal_72.cif,-22.085968,36.911285
xtal_73.cif,./Al13Sc3N16/__initial__/3/xtal_73.cif,-83.92877,-4.0087414
xtal_8.cif,./Al13Sc3N16/__initial__/3/xtal_8.cif,89.544495,-44.62603
xtal_81.cif,./Al13Sc3N16/__initial__/3/xtal_81.cif,-34.18168,66.40168
xtal_83.cif,./Al13Sc3N16/__initial__/3/xtal_83.cif,17.315142,-91.20075
xtal_85.cif,./Al13Sc3N16/__initial__/3/xtal_85.cif,102.012794,-4.276938
xtal_9.cif,./Al13Sc3N16/__initial__/3/xtal_9.cif,81.13109,13.891484
xtal_92.cif,./Al13Sc3N16/__initial__/3/xtal_92.cif,100.57865,0.99205136
xtal_93.cif,./Al13Sc3N16/__initial__/3/xtal_93.cif,80.338165,-6.82641
xtal_94.cif,./Al13Sc3N16/__initial__/3/xtal_94.cif,9.438725,-64.14862
xtal_96.cif,./Al13Sc3N16/__initial__/3/xtal_96.cif,-43.15187,-0.6423044
